bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-flanker_run-1_bold	0.0077621913580246905	0.006880294969135802	0	18.712232404126734	1.1967618521174646	1.0080033327820717	0.42740705751694263	2297.07666015625	0.19512518728883035	270	41.666666666666664	2.370699047619048	2.4174800000000003	2.556557142857143	2.1380600000000003	0.0268191	-0.009773826226592064	0.03685765340924263	648	64	64	30	3.6064060095597177	2.0	3.5	3.5	5.0	67.23158106329981	3.5738035307538034	22.86248016357422	11.731481552124023	82894.0	8.824073791503906	75.75108146667478	34.733333587646484	1.5906150393762255	144.29749143969056	579.0420532226562	561.9120483398438	13633.0	359.6783935546875	851.5040405273436	155.8037109375	54.77391958236694
sub-01_task-flanker_run-2_bold	0.002481940740740741	0.005370810355555556	1	23.563639539080153	1.2157970651483672	0.9842980721958461	0.42841690258014303	2326.428466796875	0.25519755225407753	380	56.2962962962963	2.4196685714285717	2.473197142857143	2.5963485714285715	2.18946	0.0585388	-0.01081518828868866	0.037777241319417953	675	64	64	30	3.6020847956945365	2.0	3.5	3.5	5.0	64.2208092469325	3.529692065287364	23.681921005249023	11.82370376586914	82903.0	9.151110649108887	80.41110916137691	36.67780685424805	1.4617514043195836	145.9583154031514	585.3184814453125	567.9392700195312	13599.0	362.3927459716797	866.1025268554688	157.66380310058594	54.223781697568484
sub-02_task-flanker_run-1_bold	0.003095122655122655	0.002586383046176046	0	16.783780438439283	1.2606488831213882	1.0241061222109822	0.4556194851088664	1649.297119140625	0.1414776265127462	128	18.47041847041847	2.428769523809524	2.496317142857143	2.5159314285714283	2.27406	0.0294296	-0.01068970188498497	0.05381953716278076	693	64	64	30	2.9730222223145018	2.0	3.5	3.5	5.0	43.56228355000533	4.875685608269822	26.9096736907959	13.18614673614502	79509.0	9.623376846313477	88.8020233154296	41.87480926513672	2.149178022559223	153.55522654197813	570.8619995117188	540.7698364257812	15832.0	337.9023193359375	928.5585144042968	181.8865509033203	81.2466239137575
sub-02_task-flanker_run-2_bold	0.0007554147812971343	0.0019816999457013575	2	17.845537777975835	1.2357144313746218	0.97507412826284	0.45639790734508334	1649.7906494140625	0.14301268866457267	98	14.781297134238311	2.4356714285714287	2.4860571428571427	2.498417142857143	2.32254	0.0428383	-0.011011401191353798	0.05329757556319237	663	64	64	30	2.9893003066486714	2.0	3.5	3.5	5.0	40.22438190952636	4.841378261706654	27.1462459564209	13.215686798095703	79571.0	9.763197898864746	91.21417999267578	41.645687103271484	2.0852433537844988	154.38070677194412	570.3668212890625	541.0022583007812	15792.0	336.951887512207	923.565466308593	180.9738311767578	89.96882832795382
sub-03_task-flanker_run-1_bold	0.015572865583456424	0.0048258451624815365	0	14.862389455739649	1.2835061816568054	1.1223018496153845	0.4446358154198731	1827.958740234375	0.08246995711956447	20	2.9542097488921715	2.523073333333333	2.6067314285714285	2.6383885714285715	2.3241	0.0162255	-0.012363165616989136	0.03875623270869255	677	64	64	30	3.1354135306801423	2.0	3.5	3.5	5.0	36.48049224557173	5.7727313816867944	27.09466552734375	13.850811958312988	80549.0	9.336779594421387	89.81270141601547	38.787025451660156	0.7714640583419978	182.0841662499547	618.2957763671875	592.7998046875	15136.0	362.76366424560547	972.3784790039062	189.05966186523438	62.56951257912442
sub-03_task-flanker_run-2_bold	0.0008279236641221373	0.0038737904152671763	4	16.686871114495414	1.1842936122477052	0.9289630871559635	0.44545738428484966	1749.9683837890625	0.07929192128510708	12	1.83206106870229	2.5529219047619045	2.6060085714285712	2.6854771428571427	2.36728	0.0253787	-0.01332448236644268	0.04040883854031563	655	64	64	30	3.1486670824093768	2.0	3.5	3.5	5.0	35.67822664242663	5.925881503279939	27.710268020629883	14.12977123260498	80679.0	9.83969497680664	92.41205902099571	39.78211975097656	0.7452085809159761	182.74031546177014	620.1796875	595.0228881835938	15067.0	365.4561737060547	972.0694702148437	188.9698486328125	73.95863584848121
sub-04_task-flanker_run-1_bold	0.0008821692307692307	0.003479486476923077	0	26.21857579958398	1.285053954992298	0.9837340710477659	0.4691098194091865	1530.6539306640625	0.2541138779620998	408	62.76923076923077	2.575137142857143	2.6793942857142854	2.643137142857143	2.40288	0.0460046	-0.013984320685267448	0.0527680329978466	650	64	64	30	2.735353227961488	2.0	3.5	3.5	5.0	26.339943004742523	6.482393210769632	33.080814361572266	14.859999656677246	77871.0	9.629230499267578	134.86000061035156	51.72221374511719	1.8248591510113634	191.44273079083905	626.931884765625	587.1369018554688	17129.0	354.29661865234374	1039.5418945312497	214.64129638671875	61.64096497872379
sub-04_task-flanker_run-2_bold	0.0009988052373158757	0.0030979853895253683	1	25.267251058377067	1.2729483673606568	0.9810591428852468	0.4712767488919949	1546.415283203125	0.25652949232705813	393	64.32078559738135	2.615653333333333	2.719705714285714	2.6796342857142856	2.4476199999999997	0.0684391	-0.014611102640628815	0.05278103053569794	611	64	64	30	2.7754996202131115	2.0	3.5	3.5	5.0	24.59516499363997	5.9364752963117775	33.961700439453125	14.747136116027832	77796.0	10.356792449951172	140.41407775878906	53.441585540771484	1.5310730969111788	192.16077574956964	627.5430908203125	590.1162109375	17078.0	355.1973815917969	1033.4395263671875	212.6099853515625	67.72120952792466
sub-05_task-flanker_run-1_bold	0.003703288084464555	0.00582273257918552	0	19.180436461555882	1.2017708147280959	0.9835918032024158	0.42744087353865645	1812.5	0.1293997820345513	97	14.630467571644042	2.337958095238095	2.373117142857143	2.521797142857143	2.11896	0.0233571	-0.01076356228441	0.03869251534342766	663	64	64	30	3.142492542149172	2.0	3.5	3.5	5.0	47.123089384145004	4.420973288261786	24.496007919311523	12.494721412658691	83669.0	8.926094055175781	80.14329071044915	39.10097885131836	1.0525687261218533	155.72467699589706	562.760986328125	538.2307739257812	12873.0	327.8829711914062	883.7315551757812	171.26846313476562	56.12414791435003
sub-05_task-flanker_run-2_bold	0.001482686084142395	0.004105267137540453	1	19.215094490745543	1.2423191246515395	0.9888004768395453	0.42793670318568333	1827.9652099609375	0.11987877161583664	81	13.106796116504855	2.3429542857142858	2.3992514285714286	2.505571428571429	2.12404	0.0210498	-0.011988525278866291	0.0393686518073082	618	64	64	30	3.1004775339770645	2.0	3.5	3.5	5.0	45.62374864884006	4.248687178027614	24.67314910888672	12.385113716125488	83674.0	9.119741439819336	82.0257305145256	39.44753646850586	1.1719261633803173	156.90632924319937	561.0978393554688	536.3923950195312	12804.0	327.6884460449219	888.9080566406244	172.99639892578125	68.58731855265796
sub-06_task-flanker_run-1_bold	0.002263601756954612	0.010329842679355784	0	16.955774375806442	1.0427639936217017	0.8916722370967728	0.4600770786214219	1624.0821533203125	0.11139954557023664	66	9.66325036603221	2.547504761904762	2.5911857142857144	2.7035685714285718	2.34776	0.015697	-0.02093617618083954	0.06739263981580734	683	64	64	30	3.350081882915514	2.0	3.5	3.5	5.0	32.3348215830185	5.279191413971409	29.37411117553711	13.581258773803711	80669.0	9.600293159484863	111.70483398437463	43.31499099731445	0.8026182226693845	149.37706002077482	574.1546020507812	555.00732421875	15138.0	328.44239807128906	875.6734405517578	165.664306640625	42.346520324237645
sub-06_task-flanker_run-2_bold	0.0021943797856049004	0.004941007274119448	1	18.03718551539877	1.1677595009202448	0.941930811901841	0.4610786925440118	1597.46337890625	0.11598834463732438	75	11.485451761102603	2.577132380952381	2.610325714285714	2.736591428571429	2.38448	0.0389201	-0.02261466719210148	0.06844993680715561	653	64	64	30	3.291800528424897	2.0	3.5	3.5	5.0	33.73004292594495	5.517188026355954	30.509185791015625	13.819295883178711	80728.0	9.715161323547363	117.99732170104976	45.67869186401367	0.8715018489313016	154.15999956912825	580.3953247070312	560.3407592773438	15058.0	332.6819412231445	895.6594635009765	170.217529296875	57.489299634005874
sub-07_task-flanker_run-1_bold	0.0024832615384615384	0.0017483859	0	15.963490009999997	1.3035351821109402	1.0204382804930656	0.429658289331563	2214.998046875	0.10455091520747534	35	5.384615384615385	2.406893333333333	2.399522857142857	2.622637142857143	2.19852	0.0372707	-0.015268231742084026	0.0379769504070282	650	64	64	30	3.325444958384656	2.0	3.5	3.5	5.0	46.31592062185405	4.096543767230422	23.65473747253418	12.432307243347168	81823.0	9.39384651184082	78.7215347290039	34.653533935546875	0.8319392913633896	159.97964763288144	614.3865356445312	586.15234375	14552.0	376.3677062988281	949.2192504882812	176.25677490234375	94.04400408267975
sub-07_task-flanker_run-2_bold	0.0018744690966719497	0.007178340491283676	2	17.23781708926983	1.1340627288730176	0.8802619364285721	0.4301393207546765	2182.23388671875	0.1135400299498652	56	8.874801901743265	2.4279238095238096	2.4400914285714284	2.6099	2.2337800000000003	0.0500434	-0.015891460701823235	0.03584795817732811	631	64	64	30	3.324939999344813	2.0	3.5	3.5	5.0	48.232077489090216	4.567636346467533	24.108097076416016	12.657686233520508	81862.0	8.890649795532227	81.72020568847651	35.27925109863281	0.7523764734778284	161.4298088787714	621.9595947265625	592.4913330078125	14545.0	380.0970092773438	963.05771484375	178.18997192382812	54.09050050447695
sub-08_task-flanker_run-1_bold	0.0010445348837209302	0.003212096777616279	0	21.110858343871925	1.2513436607714699	0.9539802807278016	0.4515705662418557	1714.380126953125	0.13616013057741438	90	13.081395348837209	2.5835942857142857	2.6254885714285714	2.7184342857142854	2.40686	0.0372513	-0.009825543500483036	0.039028484374284744	688	64	64	30	2.722005033612375	2.0	3.5	3.5	5.0	46.5830233632588	5.32594690919688	27.059612274169922	13.755086898803711	78784.0	9.847383499145508	87.8457134246826	40.18601608276367	1.968990747259073	181.6284769114635	613.8646240234375	576.0435791015625	16422.0	347.9654083251953	1029.7098693847654	211.6182861328125	67.64595146849751
sub-08_task-flanker_run-2_bold	0.0006769488817891374	0.0032403402236421725	3	23.351168228176018	1.2954485198079992	0.9628216643200002	0.45248232106983877	1662.712890625	0.146487378469258	113	18.05111821086262	2.5680685714285714	2.6389314285714285	2.6760542857142857	2.38922	0.034256	-0.010725242085754871	0.03807695955038071	626	64	64	30	2.6967884775943523	2.0	3.5	3.5	5.0	44.44582110683763	5.5988362308826884	27.789817810058594	13.99840259552002	78810.0	9.916933059692383	91.70598754882816	41.459678649902344	2.0335574816303614	182.7247962796123	617.8109741210938	579.21484375	16544.0	349.0468017578125	1040.4696533203119	214.7729949951172	67.08631652360782
